*********************************************************
Program parameters

baseParams	(Str)	1.0 10.0 1
clusterParams	(Str)	0.05 2 1.0 2.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.35 6.0 3.0
ligandMs	(Str)	20.0 1.4
ligandPdb	(Str)	BPA_0001.fa.pdb
ligandSeg	(Str)	5.0 15.0 0.1 1 1 1 5
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	2.0 1.0 0.4 0.5 0.9
protLib	(Str)	/gpfs/DS3524-1/WORK/greisen/ExternalProgram/patchdock/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	TJ41C3_pm1_v2.pdb
receptorSeg	(Str)	10.0 20.0 0.5 0 0 1 5
scoreParams	(Str)	0.3 -4.0 0.4 0.0 0.0 200 -4 -2 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
  63 |  3728 | -2.25 |  430.30 |     0 |     0 |     0 | -182.30 |    0.00 |    0.00 |     0 | 0.00 || -1.65990 1.40405 -2.08803 -3.77260 7.48539 -0.56166
  64 |  3726 | -1.70 |  426.10 |     0 |     0 |     0 | -115.17 |    0.00 |    0.00 |     0 | 0.00 || 0.08069 -0.20677 2.49309 -11.37006 10.95519 -29.83583
  65 |  3726 | -2.16 |  485.10 |     0 |     0 |     0 |  -80.50 |    0.00 |    0.00 |     0 | 0.00 || 2.48195 0.96281 0.14744 -19.37717 3.82607 10.49919
  66 |  3724 | -2.12 |  472.20 |     0 |     0 |     0 | -204.61 |    0.00 |    0.00 |     0 | 0.00 || -1.14785 0.62055 -0.92760 -13.94341 -7.86385 -9.42978
  67 |  3724 | -2.48 |  441.40 |     0 |     0 |     0 | -168.90 |    0.00 |    0.00 |     0 | 0.00 || -1.91876 -1.03736 0.92763 16.56762 4.47284 13.94451
  68 |  3722 | -2.23 |  484.10 |     0 |     0 |     0 | -105.12 |    0.00 |    0.00 |     0 | 0.00 || -1.02006 1.36510 2.75851 -8.51897 26.17342 7.91272
  69 |  3722 | -2.15 |  435.80 |     0 |     0 |     0 |   18.46 |    0.00 |    0.00 |     0 | 0.00 || -1.91040 -0.18702 -0.45335 -12.10507 -12.60419 -16.63157
  70 |  3722 | -2.28 |  474.30 |     0 |     0 |     0 |  -91.13 |    0.00 |    0.00 |     0 | 0.00 || 0.76208 -1.14640 -1.95387 19.38325 7.91336 -12.84398
  71 |  3720 | -2.36 |  463.90 |     0 |     0 |     0 | -145.41 |    0.00 |    0.00 |     0 | 0.00 || 2.27056 0.44442 -1.36071 4.84943 19.17512 13.06184
  72 |  3720 | -2.30 |  438.50 |     0 |     0 |     0 | -147.83 |    0.00 |    0.00 |     0 | 0.00 || -0.09667 -0.52539 2.32475 -4.40045 7.16774 -25.21177
  73 |  3720 | -2.29 |  473.10 |     0 |     0 |     0 | -164.45 |    0.00 |    0.00 |     0 | 0.00 || -1.48779 0.26018 -2.99642 3.18517 19.39338 -7.45966
  74 |  3720 | -2.10 |  437.60 |     0 |     0 |     0 | -212.16 |    0.00 |    0.00 |     0 | 0.00 || -1.94482 1.02192 1.16347 32.56365 -13.38668 20.84532
