*********************************************************
Program parameters

baseParams	(Str)	1.0 10.0 1
clusterParams	(Str)	0.05 2 1.0 2.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.35 6.0 3.0
ligandMs	(Str)	20.0 1.4
ligandPdb	(Str)	BPA_0001.fa.pdb
ligandSeg	(Str)	5.0 15.0 0.1 1 1 1 5
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	2.0 1.0 0.4 0.5 0.9
protLib	(Str)	/gpfs/DS3524-1/WORK/greisen/ExternalProgram/patchdock/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	ank1C4.7.pdb
receptorSeg	(Str)	10.0 20.0 0.5 0 0 1 5
scoreParams	(Str)	0.3 -4.0 0.4 0.0 0.0 200 -4 -2 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
  89 |  2694 | -2.14 |  312.30 |     0 |     0 |     0 |  -42.18 |    0.00 |    0.00 |     0 | 0.00 || 1.72197 0.23335 -0.59254 -5.80481 -0.91179 10.17640
  90 |  2694 | -1.54 |  287.10 |     0 |     0 |     0 |  -40.65 |    0.00 |    0.00 |     0 | 0.00 || 1.50120 0.50876 -0.23087 -10.95428 4.11018 4.93335
  91 |  2694 | -1.59 |  289.30 |     0 |     0 |     0 |  -74.87 |    0.00 |    0.00 |     0 | 0.00 || -1.13932 0.58288 -0.54081 -41.94223 -31.97297 -18.16923
  92 |  2694 | -2.71 |  352.60 |     0 |     0 |     0 |  -52.01 |    0.00 |    0.00 |     0 | 0.00 || 2.81234 -0.52259 -0.58794 -4.91302 12.50152 19.46636
  93 |  2692 | -2.26 |  328.10 |     0 |     0 |     0 |  -82.18 |    0.00 |    0.00 |     0 | 0.00 || 2.62454 0.31400 -2.95919 -14.33117 -23.82123 23.96507
  94 |  2690 | -2.50 |  329.30 |     0 |     0 |     0 | -136.08 |    0.00 |    0.00 |     0 | 0.00 || 1.40931 -0.40428 1.50700 -61.15689 -8.22028 -10.80983
  95 |  2690 | -1.96 |  301.10 |     0 |     0 |     0 |  -76.60 |    0.00 |    0.00 |     0 | 0.00 || 0.47528 1.32738 2.38714 -36.20883 18.48077 -0.29448
  96 |  2686 | -2.14 |  306.10 |     0 |     0 |     0 |  -48.83 |    0.00 |    0.00 |     0 | 0.00 || 1.58798 -0.41014 2.13716 -2.30012 -25.24953 5.80886
  97 |  2684 | -2.49 |  324.30 |     0 |     0 |     0 |  -14.01 |    0.00 |    0.00 |     0 | 0.00 || 1.09097 0.82891 1.18982 -32.07032 -3.74781 -0.21802
  98 |  2684 | -1.75 |  319.30 |     0 |     0 |     0 |  -95.31 |    0.00 |    0.00 |     0 | 0.00 || -2.69878 -0.89976 -2.57898 -9.98012 -39.83215 -3.08507
